Order_ID,Product_ID,Customer_ID,UnitsSold,DiscountApplied,ShippingCost,TotalOrderValue
8c58b8b1-c59c-45f0-81b7-72d7b3498c1b,f44f147d-cbd6-4a2a-bfb8-54e583ad1bcb,d019836b-a793-4978-884b-fd78f0a7568c,37,0.1,46.65,3229.97
4578850f-d26d-48d0-9ed0-f2e414d42e1e,b6cdfd78-ecb7-477d-b9e9-877e69048366,925af429-2c8c-43db-a855-1d49afeb59b1,13,0.04,32.04,1144.06
3298a1b7-8a55-4383-b7a4-8aaa7aa49832,9f278d40-2004-4e9d-8536-f10b5aeeb0bd,db167065-0dce-425e-b35b-2d18edf1e3f3,26,0.06,29.6,1457.42
72ef9c56-e165-429d-a70f-42ed86a6370f,a62bd74f-b817-4006-a156-b62803bff2a5,0dc4b973-c490-46aa-9275-87b1f27194f3,13,0.09,22.23,889.55
acfd97a9-a786-42fc-8738-ed93553689c4,17e0963e-65e1-4963-aeb3-938981bb941d,06729f40-e5f4-4261-b382-d4d435db9e30,31,0.1,12.34,2537.77
26d0d088-9148-49fb-8fdb-2bcda9fdf529,b95e8a5b-aec5-4dff-8064-9fa58084b10f,b5aad4a7-d647-439f-9bb4-12ce1594ccd5,37,0.04,35.76,2047.53
6a11d269-74bd-40e5-8283-14666044fd85,cf5bb473-fc6a-47d7-bebe-c98545375e6d,eef204c8-8811-4692-a45b-484e1f27c21f,23,0.3,22.67,626.53
ab3ed148-a96d-413f-9f2a-3eaab7dab7ce,e5ff7181-f572-44f3-950f-b339407f451c,9aeb6b18-fff8-426a-9906-caf8f8b6a360,22,0.07,16.98,1490.28
cc0fc320-6840-4c31-89e5-2145b15d8ff4,51008b75-897a-4362-8cfd-78cd915a09ba,fd9557d2-59a4-4364-8815-af128132d752,12,0.25,41.02,1094.15
00db3ab7-bd08-479e-80c7-03be56bb0832,2a5ced25-af75-45de-ad12-d132bd5cfc18,aca90765-7747-4de5-be46-d014cafbbd3d,50,0.02,40.37,2947.29
6e082b7b-278f-46f1-a381-b6294b0ae5a3,a0cf9270-b708-44c5-b7ed-d2776493112a,78723375-b29a-454c-bb27-81d14bddaf0c,23,0.02,33.35,658.61
ac8e28c3-0bbd-4673-a205-eeecad1b9bc1,3f3863ad-cb1a-40a5-b9c5-aaf18c9e0a62,eefe4275-59f3-427a-8d29-ea9e79b25ffc,33,0.27,28.5,839.74
e8b712f8-0112-481e-8d82-b50a4e805499,22febd32-1c49-4f01-b8c3-0664163558c4,7a4b9529-fe80-4412-9808-ac5d1fb8a289,49,0.07,19.12,2917.84
b23dddc4-7aed-4ccf-b5c5-ace63449a942,fcfad00c-8f0a-4337-a49b-ad03f5c65509,897ea5d5-81ed-4ac8-8e4e-2e977f5f79b5,41,0.24,23.0,3631.67
fad80e37-9458-43eb-b540-6cc63583d55b,39e40e1f-cfa6-4e38-802d-c7923f708f17,822ba0d8-6a88-4b7c-ad4f-d261183fc2e5,7,0.11,38.85,453.19
036e4e2b-9cea-4461-8450-f97374970b5a,fcd66b81-17f7-4046-b7cd-771af8c68864,6244395b-71b4-46b0-8b13-fe461676326b,50,0.28,38.35,1951.61
f8b894df-8a55-4d9a-bcb4-5955d32aba5c,a03961b3-bfde-4756-9d3a-a72efcd7b3d2,b9e27f46-6aa0-49b3-8d60-24407e9f4d08,32,0.0,40.28,2846.46
f550c5aa-e5e3-4e35-ae74-658cc5009d88,7127d4a5-14c1-45c1-9830-e5d7ccf9cb9d,4ef291a9-87fa-414b-b6ec-457e123cc389,29,0.16,46.28,1309.79
7b44e7ee-8e0f-4559-bdfa-d08a7931b2a0,ca02c132-6d83-4110-b7e7-700d04ea8611,e7e0a1f2-9277-4a5e-b067-3624ccdb5479,16,0.2,16.74,400.28
d444e182-66a1-4dee-9d93-9644bd2f0acf,148cf4f2-a0e5-4228-a703-d445b91abca6,843c9914-83e2-46cd-8b8b-7b6b82e5d309,47,0.15,34.51,3285.53
9e44f411-2ecc-472b-ac38-97ebc307e7ff,40a11737-7d4b-47a3-9864-71345365d19c,e6f5d363-6249-46d6-a946-05145a7d8273,20,0.1,46.05,611.76
fadf3dc5-2124-486b-9417-b9b14cb397f3,8f457064-59c8-4b48-b950-ea79c6ce3fe0,f0318ba5-a817-4539-9145-cab38f9076c6,16,0.06,7.43,1558.03
55646ff7-e13d-422e-b258-bd84857172aa,8d308f36-e76e-4046-96a1-5ff1d44a47d0,cd89d0a5-0a90-498e-a8e5-006442bef153,25,0.22,23.55,1587.92
87529993-c68e-465c-a9e5-ae43eae112b1,dfe64015-074d-4b99-b1c0-d0eb865dbd87,b7ba337a-1b76-45d8-ab20-ee373368ef02,16,0.22,24.82,991.02
40ed5bf2-91c7-4c6d-aa92-53ae59793513,6e708edb-5e64-4cfc-94da-43fdaf1d0eba,08c89d68-c019-4fec-97fa-dd2d7f38cab4,39,0.13,19.57,1799.54
d5ce4fbb-33c1-4294-b90c-ecd37aa6334e,418dfdc8-ef72-4d1b-8ce2-23b85ed3b8de,a000a981-4b8f-41a5-a341-ef336898f45f,10,0.12,22.65,551.26
302c4569-d2aa-4ac9-855b-a9e93dd4e758,313e5c44-65de-4d9f-af01-39bac183fc3a,7d4ef063-18ef-48f3-88f4-fc026528daf4,9,0.07,33.34,172.68
