Order_ID,Customer_ID,PaymentMethod,DeliveryStatus
a0e1d2f0-f18d-440f-80d8-de10ea29ec55,4ef291a9-87fa-414b-b6ec-457e123cc389,Cash,Delivered
69495807-8270-4aae-8984-4c97d542e383,3cd28f54-bd06-4584-9f6d-a983b85c59ee,PayPal,Pending
62bc9ac9-707c-41f8-bc77-df083d29ba47,41aa7493-de96-4ff7-8192-7ea9780fa93f,Cash,Shipped
5e3963ca-2f01-415b-86fa-fb611496c173,ff700979-e55f-4b30-853d-b730250133f0,Cash,Delivered
68564d40-3bcc-44e1-856f-42433dcd4633,ad72104d-8827-4d13-8dfa-e86ab54e57eb,Debit Card,Returned
9f36b05c-c4ec-409e-a76b-4f1a2f2e9088,bf2a1428-8491-45cf-91cb-0b22e87adecb,PayPal,Shipped
72d50981-59b6-4810-b909-c1aeaa76d52a,aa5e2b20-83a5-486a-9cee-67e672c91830,PayPal,Returned
f4b7a1dd-aa41-4f23-bd93-4c0e7530d5dd,89af4c14-16c9-44e2-8ca6-9fa0237defae,PayPal,Delivered
0fb6ff01-531c-415c-acbc-ee9ea5eb45a4,ed14d2a3-b56a-4fc9-b98a-31710c56aed5,Credit Card,Shipped
51f09bbe-e1d5-482c-b1a2-1bb74002d160,55cc5f43-2c21-400e-8788-994e8b816597,Cash,Delivered
3823eabb-fba3-4091-bb50-9c29dc21cee3,dd5d8718-8d44-4c1f-8861-610eed2d423c,PayPal,Pending
c8436d7f-5aef-411d-910d-2e7bbdc4994d,277f3d3a-6b33-43cb-948e-0b5fab2b9a86,Cash,Delivered
28003435-86fd-46ed-acd7-ba7dd7dad9c6,d02b1d74-9659-4a70-a221-da0ad07a4a6e,Credit Card,Delivered
60dd343b-dc45-4c33-b8cb-0ee8163ed522,eaf867c8-31ad-4d4b-922d-2adaa2d53d9a,Credit Card,Returned
25a02069-fa87-48c2-9fa1-cacde6bc8ce7,9e71c664-93c9-4dcf-9374-abafc353192a,Cash,Returned
ae46241d-1be9-42f6-bcc3-74c4697555e1,74a086dd-0480-4bb7-9f1b-fc1d97426292,Credit Card,Delivered
f05d37c5-0a45-4bcf-9227-72ce7ae27e37,9b580c28-10a7-4252-83ac-49fc6ddda292,Debit Card,Delivered
